comune,year,month,t_mean
Acquafondata,2011,1,0.73
Acquafondata,2011,2,0.82
Acquafondata,2011,3,3.28
Acquafondata,2011,4,7.96
Acquafondata,2011,5,11.55
Acquafondata,2011,6,15.77
Acquafondata,2011,7,17.22
Acquafondata,2011,8,19.24
Acquafondata,2011,9,16.73
Acquafondata,2011,10,9.93
Acquafondata,2011,11,5.43
Acquafondata,2011,12,2.46
Acquafondata,2012,1,-0.11
Acquafondata,2012,2,-2.11
Acquafondata,2012,3,6.27
Acquafondata,2012,4,7.59
Acquafondata,2012,5,10.91
Acquafondata,2012,6,17.59
Acquafondata,2012,7,19.74
Acquafondata,2012,8,20.62
Acquafondata,2012,9,14.92
Acquafondata,2012,10,10.97
Acquafondata,2012,11,7.34
Acquafondata,2012,12,0.64
Acquafondata,2013,1,0.96
Acquafondata,2013,2,0.05
Acquafondata,2013,3,4.41
Acquafondata,2013,4,8.98
Acquafondata,2013,5,10.88
Acquafondata,2013,6,14.77
Acquafondata,2013,7,17.86
Acquafondata,2013,8,18.8
Acquafondata,2013,9,14.69
Acquafondata,2013,10,11.81
Acquafondata,2013,11,5.81
Acquafondata,2013,12,1.68
Acquafondata,2014,1,2.87
Acquafondata,2014,2,4.51
Acquafondata,2014,3,3.52
Acquafondata,2014,4,7.88
Acquafondata,2014,5,10.64
Acquafondata,2014,6,15.74
Acquafondata,2014,7,16.56
Acquafondata,2014,8,17.74
Acquafondata,2014,9,14.28
Acquafondata,2014,10,11.33
Acquafondata,2014,11,7.86
Acquafondata,2014,12,2.24
Acquafondata,2015,1,1.25
Acquafondata,2015,2,1.03
Acquafondata,2015,3,4.5
Acquafondata,2015,4,7.67
Acquafondata,2015,5,12.73
Acquafondata,2015,6,16.26
Acquafondata,2015,7,21.5
Acquafondata,2015,8,19.66
Acquafondata,2015,9,15.45
Acquafondata,2015,10,9.8
Acquafondata,2015,11,6.35
Acquafondata,2015,12,2.24
Acquafondata,2016,1,1.66
Acquafondata,2016,2,4.7
Acquafondata,2016,3,4.63
Acquafondata,2016,4,10.08
Acquafondata,2016,5,11.21
Acquafondata,2016,6,15.85
Acquafondata,2016,7,19.77
Acquafondata,2016,8,18.8
Acquafondata,2016,9,14.29
Acquafondata,2016,10,10.15
Acquafondata,2016,11,5.74
Acquafondata,2016,12,1.37
Acquafondata,2017,1,-2.22
Acquafondata,2017,2,3.75
Acquafondata,2017,3,5.95
Acquafondata,2017,4,7.28
Acquafondata,2017,5,11.95
Acquafondata,2017,6,17.47
Acquafondata,2017,7,19.18
Acquafondata,2017,8,21.0
Acquafondata,2017,9,12.79
Acquafondata,2017,10,9.85
Acquafondata,2017,11,4.63
Acquafondata,2017,12,0.74
Acquafondata,2018,1,3.02
Acquafondata,2018,2,0.22
Acquafondata,2018,3,3.96
Acquafondata,2018,4,10.81
Acquafondata,2018,5,12.83
Acquafondata,2018,6,16.18
Acquafondata,2018,7,19.45
Acquafondata,2018,8,18.37
Acquafondata,2018,9,15.26
Acquafondata,2018,10,11.74
Acquafondata,2018,11,6.37
Acquafondata,2018,12,2.13
Acquafondata,2019,1,-1.41
Acquafondata,2019,2,2.33
Acquafondata,2019,3,5.74
Acquafondata,2019,4,7.17
Acquafondata,2019,5,8.3
Acquafondata,2019,6,18.42
Acquafondata,2019,7,19.39
Acquafondata,2019,8,19.91
Acquafondata,2019,9,15.48
Acquafondata,2019,10,11.43
Acquafondata,2019,11,6.89
Acquafondata,2019,12,3.3
Acquafondata,2020,1,1.5
Acquafondata,2020,2,3.61
Acquafondata,2020,3,4.09
Acquafondata,2020,4,7.67
Acquafondata,2020,5,12.25
Acquafondata,2020,6,14.38
Acquafondata,2020,7,18.52
Acquafondata,2020,8,19.25
Acquafondata,2020,9,15.54
Acquafondata,2020,10,8.6
Acquafondata,2020,11,6.72
Acquafondata,2020,12,2.61
Acquafondata,2021,1,0.5
Acquafondata,2021,2,3.67
Acquafondata,2021,3,3.37
Acquafondata,2021,4,5.89
Acquafondata,2021,5,11.0
Acquafondata,2021,6,17.09
Acquafondata,2021,7,19.5
Acquafondata,2021,8,19.47
Acquafondata,2021,9,15.73
Acquafondata,2021,10,9.41
Acquafondata,2021,11,7.22
Acquafondata,2021,12,2.18
Acquafondata,2022,1,1.03
Acquafondata,2022,2,2.81
Acquafondata,2022,3,2.52
Acquafondata,2022,4,7.03
Acquafondata,2022,5,13.5
Acquafondata,2022,6,19.25
Acquafondata,2022,7,21.2
Acquafondata,2022,8,19.62
Acquafondata,2022,9,14.64
Acquafondata,2022,10,12.0
Acquafondata,2022,11,6.5
Acquafondata,2022,12,4.71
Acquafondata,2023,1,1.5
Acquafondata,2023,2,1.86
Acquafondata,2023,3,5.34
Acquafondata,2023,4,6.53
Acquafondata,2023,5,11.38
Acquafondata,2023,6,16.26
